year,host_country,round,stage_type,date,home_team,away_team,home_score,away_score,total_goals,goal_diff,result,winner,home_xg,away_xg,home_penalty_shootout,away_penalty_shootout,venue,attendance,referee,home_manager,away_manager,home_captain,away_captain,notes
1974,Germany,Second round,Knockout,1974-06-30,West Germany,Sweden,4.0,2.0,6.0,2.0,Home Win,West Germany,,,,,"Rheinstadion, Dï¿½Sseldorf",67800,Pavel Kazakov,Helmut Schoen,Georg Ericson,Franz Beckenbauer,Bo Larsson,
1974,Germany,Second round,Knockout,1974-06-26,Yugoslavia,West Germany,0.0,2.0,2.0,-2.0,Away Win,West Germany,,,,,"Rheinstadion, Dï¿½Sseldorf",67385,Armando Marques,Miljan Miljanic,Helmut Schoen,Dragan Džajić,Franz Beckenbauer,
1974,Germany,Second round,Knockout,1974-06-26,Brazil,Germany DR,1.0,0.0,1.0,1.0,Home Win,Brazil,,,,,"Niedersachsenstadion, Hanover",59863,Clive Thomas,Mario Zagallo,Georg Buschner,Marinho Peres,Bernd Bransch,
1974,Germany,Second round,Knockout,1974-06-26,Sweden,Poland,0.0,1.0,1.0,-1.0,Away Win,Poland,,,,,"Neckarstadion, Stuttgart",44955,Ramon Barreto Ruiz,Georg Ericson,Kazimierz Gorski,Bo Larsson,Kazimierz Deyna,
1974,Germany,Second round,Knockout,1974-06-26,Netherlands,Argentina,4.0,0.0,4.0,4.0,Home Win,Netherlands,,,,,"Parkstadion, Gelsenkirchen",56548,Bob Davidson,Rinus Michels,Vladislao Cap,Johan Cruyff,Roberto Perfumo,
1974,Germany,First round,Knockout,1974-06-23,Bulgaria,Netherlands,1.0,4.0,5.0,-3.0,Away Win,Netherlands,,,,,"Westfalenstadion, Dortmund",53300,Tony Boskovic,Hristo Mladenov,Rinus Michels,Hristo Bonev,Johan Cruyff,
1974,Germany,First round,Knockout,1974-06-23,Poland,Italy,2.0,1.0,3.0,1.0,Home Win,Poland,,,,,"Neckarstadion, Stuttgart",70100,Hans Joachim Weyland,Kazimierz Gorski,Ferruccio Valcareggi,Kazimierz Deyna,Giacinto Facchetti,
1974,Germany,First round,Knockout,1974-06-23,Sweden,Uruguay,3.0,0.0,3.0,3.0,Home Win,Sweden,,,,,"Rheinstadion, Dï¿½Sseldorf",28300,Erich Linemayr,Georg Ericson,Roberto Porta,Bo Larsson,Ladislao Mazurkiewicz,
1974,Germany,First round,Knockout,1974-06-23,Argentina,Haiti,4.0,1.0,5.0,3.0,Home Win,Argentina,,,,,"Olympiastadion, Munich",25900,Pablo Sanchez Ibanez,Vladislao Cap,Antoine Tassy,Roberto Perfumo,Wilner Nazaire,
1974,Germany,First round,Knockout,1974-06-22,Scotland,Yugoslavia,1.0,1.0,2.0,0.0,Draw,Draw,,,,,"Waldstadion, Frankfurt/Main",56000,Alfonso Gonzalez Archundia,Willie Ormond,Miljan Miljanic,Billy Bremner,Dragan Džajić,
1974,Germany,First round,Knockout,1974-06-22,Australia,Chile,0.0,0.0,0.0,0.0,Draw,Draw,,,,,"Olympiastadion, Berlin West",17400,Jafar Namdar,Rale Rasic,Luis Alamos,Peter Wilson,Francisco Valdés,
1974,Germany,First round,Knockout,1974-06-22,Zaire,Brazil,0.0,3.0,3.0,-3.0,Away Win,Brazil,,,,,"Parkstadion, Gelsenkirchen",36200,Nicolae Rainea,Blagoje Vidinic,Mario Zagallo,Kidumu Mantantu,Wilson da Silva Piazza,
