year,date,round,home_team,away_team,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_second_yellow_reds,away_second_yellow_reds,data_available,total_yellow_cards,total_red_cards
1986,1986-06-08,Group stage,West Germany,Scotland,0,3,0,0,0.0,0.0,True,3,0
1986,1986-06-08,Group stage,Iraq,Belgium,6,1,0,0,1.0,0.0,True,7,0
1986,1986-06-08,Group stage,Denmark,Uruguay,1,2,0,1,0.0,0.0,True,3,1
1986,1986-06-07,Group stage,Mexico,Paraguay,3,2,0,0,0.0,0.0,True,5,0
1986,1986-06-07,Group stage,Northern Ireland,Spain,1,1,0,0,0.0,0.0,True,2,0
1986,1986-06-07,Group stage,Poland,Portugal,2,0,0,0,0.0,0.0,True,2,0
1986,1986-06-06,Group stage,Brazil,Algeria,0,0,0,0,0.0,0.0,False,0,0
1986,1986-06-06,Group stage,Hungary,Canada,0,2,0,1,0.0,0.0,True,2,1
1986,1986-06-06,Group stage,England,Morocco,2,2,1,0,0.0,0.0,True,4,1
1986,1986-06-05,Group stage,Italy,Argentina,1,2,0,0,0.0,0.0,True,3,0
1986,1986-06-05,Group stage,France,Soviet Union,2,2,0,0,0.0,0.0,True,4,0
1986,1986-06-05,Group stage,Korea Republic,Bulgaria,2,1,0,0,0.0,0.0,True,3,0
1986,1986-06-04,Group stage,Paraguay,Iraq,1,1,0,0,0.0,0.0,True,2,0
1986,1986-06-04,Group stage,Uruguay,West Germany,2,0,0,0,0.0,0.0,True,2,0
1986,1986-06-04,Group stage,Scotland,Denmark,0,1,0,0,0.0,0.0,True,1,0
1986,1986-06-03,Group stage,Belgium,Mexico,1,2,0,0,0.0,0.0,True,3,0
1986,1986-06-03,Group stage,Algeria,Northern Ireland,1,3,0,0,0.0,0.0,True,4,0
1986,1986-06-03,Group stage,Portugal,England,1,2,0,0,0.0,0.0,True,3,0
1986,1986-06-02,Group stage,Soviet Union,Hungary,0,0,0,0,0.0,0.0,False,0,0
1986,1986-06-02,Group stage,Argentina,Korea Republic,0,2,0,0,0.0,0.0,True,2,0
